grid_id,row,col,sub_row,sub_col,min_lon,min_lat,max_lon,max_lat,centroid_lon,centroid_lat,public_count,private_count,facilities_count,traffic_sum,traffic_sum_imputed,enforcement_sum,score_facilities,score_traffic,score_enforcement,congestion_score_raw,congestion_score,congestion_score_100,congestion_score_100_local
g61_sr7sc2,7,5,7,2,127.16865487796747,36.81575854217372,127.17187653868478,36.81834879225976,127.17026573455861,36.81705367310362,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr7sc3,7,5,7,3,127.17181607418907,36.81580719602045,127.17503763807764,36.818397366595875,127.17342688236582,36.81710228719699,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr7sc4,7,5,7,4,127.17497727799248,36.81585576589308,127.17819874503824,36.81844585694954,127.17658803774786,36.817150817312104,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr7sc5,7,5,7,5,127.17813848936467,36.81590425179099,127.18135985955354,36.81849426332015,127.17974920069166,36.81719926344832,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr7sc6,7,5,7,6,127.1812997082925,36.81595265371354,127.18452098161046,36.818542585707036,127.18291037118405,36.81724762560499,0,0,0,0.0,5460.427419354839,2.0,0.0,0.0,0.0016050076237862129,0.000535002541262071,0.0012190216132532028,0.012190216132532029,0.012190216132532029
g61_sr7sc7,7,5,7,7,127.18446093476294,36.8160009716601,127.18768211119588,36.8185908241096,127.18607154921202,36.81729590378152,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr7sc8,7,5,7,8,127.18762216876289,36.81604920563003,127.19084324829677,36.81863897852721,127.18923273476243,36.81734409797724,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr7sc9,7,5,7,9,127.19078341027925,36.81609735562273,127.19400439290006,36.818687048959234,127.19239392782228,36.81739220819156,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr8sc0,7,5,8,0,127.16227172297947,36.818202565363116,127.16549368934076,36.82079297775715,127.16388273239578,36.819497777443665,0,0,0,0.0,5460.427419354839,500.0,0.0,0.0,0.40125190594655324,0.13375063531551776,0.30475540331330075,3.0475540331330073,3.0475540331330073
g61_sr8sc1,7,5,8,1,127.16543300841886,36.81825139164277,127.16865487796747,36.820841724535434,127.16704396942886,36.81954656397458,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr8sc2,7,5,8,2,127.16859430146724,36.818300133941854,127.17181607418907,36.82089038732483,127.17020521406387,36.81959526652079,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr8sc3,7,5,8,3,127.17175560211152,36.818348792259776,127.17497727799248,36.820938966124714,127.17336646628775,36.819643885081646,0,0,1,0.0,5460.427419354839,0.0,2.0,0.0,0.0,0.6666666666666666,1.519022832274816,15.190228322748162,15.190228322748162
g61_sr8sc4,7,5,8,4,127.1749169103386,36.81839736659588,127.17813848936467,36.820987460934425,127.17652772608736,36.81969241965651,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr8sc5,7,5,8,5,127.17807822613541,36.81844585694955,127.1812997082925,36.82103587175336,127.17968899344973,36.81974087024477,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr8sc6,7,5,8,6,127.18123954948888,36.81849426332015,127.18446093476294,36.82108419858088,127.18285026836169,36.819789236845786,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr8sc7,7,5,8,7,127.18440088038592,36.818542585707036,127.18762216876289,36.82113244141637,127.18601155081024,36.819837519458936,0,0,1,0.0,5460.427419354839,0.0,2.0,0.0,0.0,0.6666666666666666,1.519022832274816,15.190228322748162,15.190228322748162
g61_sr8sc8,7,5,8,8,127.18756221881344,36.818590824109606,127.19078341027925,36.82118060025917,127.18917284078218,36.81988571808358,0,0,0,0.0,5460.427419354839,3.0,0.0,0.0,0.002407511435679319,0.0008025038118931064,0.0018285324198798042,0.018285324198798043,0.018285324198798043
g61_sr8sc9,7,5,8,9,127.19072356475841,36.81863897852721,127.193944659299,36.821228675108685,127.19233413826456,36.81993383271911,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr9sc0,7,5,9,0,127.16221093001481,36.820744146990606,127.16543300841886,36.82333456269667,127.16382199545575,36.822039360727736,0,0,0,20150.104838709678,20150.104838709678,300.0,0.0,1.6500936416727456,0.24075114356793192,0.6302815950802259,1.4361182005341802,14.361182005341803,14.361182005341803
g61_sr9sc1,7,5,9,1,127.16537231988798,36.82079297775715,127.16859430146724,36.82338331395443,127.16698333691654,36.82208815174185,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr9sc2,7,5,9,2,127.1685337173711,36.820841724535434,127.17175560211152,36.82343198121559,127.17014468598028,36.822136858763535,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr9sc3,7,5,9,3,127.17169512245114,36.82089038732483,127.1749169103386,36.82348056447952,127.17330604263387,36.822185481792154,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr9sc4,7,5,9,4,127.17485653511496,36.820938966124714,127.17807822613541,36.82352906374558,127.17646740686419,36.82223402082708,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr9sc5,7,5,9,5,127.17801795534949,36.820987460934425,127.18123954948888,36.823577479013146,127.17962877865821,36.82228247586768,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr9sc6,7,5,9,6,127.18117938314165,36.82103587175336,127.18440088038592,36.823625810281584,127.18279015800286,36.82233084691333,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr9sc7,7,5,9,7,127.1843408184784,36.82108419858088,127.18756221881344,36.823674057550264,127.18595154488499,36.82237913396338,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr9sc8,7,5,9,8,127.18750226134661,36.82113244141637,127.19072356475841,36.823722220818574,127.18911293929156,36.822427337017224,0,0,0,0.0,5460.427419354839,6.0,0.0,0.0,0.004815022871358638,0.0016050076237862129,0.0036570648397596084,0.036570648397596085,0.036570648397596085
g61_sr9sc9,7,5,9,9,127.19066371173321,36.82118060025917,127.19388491820769,36.823770300085855,127.19227434120953,36.82247545607424,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g70_sr0sc0,8,3,0,0,127.10158429434935,36.82233292982131,127.10214598571426,36.82470768179508,127.10190588100471,36.8232020721685,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g70_sr0sc1,8,3,0,1,127.10208754181076,36.82234189923897,127.10530722851293,36.82493382747785,127.10369571638317,36.82363751687102,0,0,0,0.0,5460.427419354839,5.0,0.0,0.0,0.004012519059465532,0.0013375063531551774,0.0030475540331330073,0.030475540331330073,0.030475540331330073
